sku,title,evidence_url,product_url,family,product_type,price,price_band,inventory,weight,weight_unit,weight_band,length,width,height,pack_count,status,merchant_status,merchant_availability,completeness
1099,"10x9x9 ECT-32 Kraft Corrugated Boxes - Industrial Strength Shipping, Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/1099-10x9x9-ect-32-kraft-corrugated-boxes-industrial-strength-shipping-bundle-of-25/,https://packrift.com/products/10x9x9-ect-32-kraft-corrugated-boxes-industrial-strength-shipping-bundle-of-25,boxes,Boxes - Corrugated,18.85,under-25,500,13.12,POUNDS,10-to-50-lb,10,9,9,25,catalog approved,active,in stock,100
111111,"11x11x11"" ECT-32 Kraft Corrugated Cube Boxes - Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/111111-11x11x11-ect-32-kraft-corrugated-cube-boxes-bundle-of-25/,https://packrift.com/products/11x11x11-ect-32-kraft-corrugated-cube-boxes-bundle-of-25,boxes,Boxes - Corrugated,27.57,25-to-75,500,18.14,POUNDS,10-to-50-lb,11,11,11,25,catalog approved,active,in stock,100
111113,11x11x13 ECT-32 Kraft Corrugated Boxes - 25-Pack Bundle,https://packrift.github.io/sku-evidence-cards/sku/111113-11x11x13-ect-32-kraft-corrugated-boxes-25-pack-bundle/,https://packrift.com/products/11x11x13-ect-32-kraft-corrugated-boxes-25-pack-bundle,boxes,Boxes - Corrugated,48.51,25-to-75,200,20.32,POUNDS,10-to-50-lb,11,11,13,0,catalog approved,active,in stock,100
11118,"11x11x8"" ECT-32 Kraft Corrugated Boxes - Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/11118-11x11x8-ect-32-kraft-corrugated-boxes-bundle-of-25/,https://packrift.com/products/11x11x8-ect-32-kraft-corrugated-boxes-bundle-of-25,boxes,Boxes - Corrugated,32.07,25-to-75,400,14.68,POUNDS,10-to-50-lb,11,11,8,25,catalog approved,active,in stock,100
1128SSFOL,"11 1/8 x 2 x 8 3/4"" ECT-32 Self-Seal Side Loading Box - Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/1128ssfol-11-1-8-x-2-x-8-3-4-ect-32-self-seal-side-loading-box-ai-bundle-of-25/,https://packrift.com/products/11-1-8-x-2-x-8-3-4-ect-32-self-seal-side-loading-box-ai-bundle-of-25,boxes,Boxes - Corrugated,69.79,25-to-75,200,6.98,POUNDS,1-to-10-lb,11.125,2,8.75,25,catalog approved,active,in stock,100
11315SSFOL,"11.25x3x15.125 White Self-Seal Corrugated Box - ECT-32, Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/11315ssfol-11-25x3x15-125-white-self-seal-corrugated-box-ect-32-bundle-of-25/,https://packrift.com/products/11-25x3x15-125-white-self-seal-corrugated-box-ect-32-bundle-of-25,boxes,Boxes - Corrugated,93.25,75-to-200,300,13.3,POUNDS,10-to-50-lb,11.25,3,15.125,25,catalog approved,active,in stock,100
1164,11x6x4 ECT-32 Kraft Corrugated Long Boxes - 25 Bundle,https://packrift.github.io/sku-evidence-cards/sku/1164-11x6x4-ect-32-kraft-corrugated-long-boxes-25-bundle/,https://packrift.com/products/11x6x4-ect-32-kraft-corrugated-long-boxes-25-bundle,boxes,Boxes - Corrugated,20.97,under-25,200,6.54,POUNDS,1-to-10-lb,11,6,4,25,catalog approved,active,in stock,100
1166,11x6x6 ECT-32 Kraft Corrugated Boxes - 25-Pack Bundle,https://packrift.github.io/sku-evidence-cards/sku/1166-11x6x6-ect-32-kraft-corrugated-boxes-25-pack-bundle/,https://packrift.com/products/11x6x6-ect-32-kraft-corrugated-boxes-25-pack-bundle,boxes,Boxes - Corrugated,14.69,under-25,400,8.48,POUNDS,1-to-10-lb,11,6,6,0,catalog approved,active,in stock,100
1177,11x7x7 ECT-32 Kraft Corrugated Boxes - Bundle of 25,https://packrift.github.io/sku-evidence-cards/sku/1177-11x7x7-ect-32-kraft-corrugated-boxes-bundle-of-25/,https://packrift.com/products/11x7x7-ect-32-kraft-corrugated-boxes-bundle-of-25,boxes,Boxes - Corrugated,18.75,under-25,500,11.6,POUNDS,10-to-50-lb,11,7,7,25,catalog approved,active,in stock,100
11810,11.25x8.625x10 ECT-32 Kraft Corrugated Boxes - 25 Bundle,https://packrift.github.io/sku-evidence-cards/sku/11810-11-25x8-625x10-ect-32-kraft-corrugated-boxes-25-bundle/,https://packrift.com/products/11-25x8-625x10-ect-32-kraft-corrugated-boxes-25-bundle,boxes,Boxes - Corrugated,21.7,under-25,400,14.9,POUNDS,10-to-50-lb,11.25,8.625,10,25,catalog approved,active,in stock,100
11810R,"11.25x8.75x10 ECT-32 Kraft Corrugated Boxes - 5 Ream Shipper, 25-Pack",https://packrift.github.io/sku-evidence-cards/sku/11810r-11-25x8-75x10-ect-32-kraft-corrugated-boxes-5-ream-shipper-25-pack/,https://packrift.com/products/11-25x8-75x10-ect-32-kraft-corrugated-boxes-5-ream-shipper-25-pack,boxes,Boxes - Corrugated,24.79,under-25,500,14.1,POUNDS,10-to-50-lb,11.25,8.75,10,0,catalog approved,active,in stock,100
11811,"11.25x8.75x11 ECT-32 Kraft Corrugated Boxes - Single Wall, Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/11811-11-25x8-75x11-ect-32-kraft-corrugated-boxes-single-wall-bundle-of-25/,https://packrift.com/products/11-25x8-75x11-ect-32-kraft-corrugated-boxes-single-wall-bundle-of-25,boxes,Boxes - Corrugated,23.1,under-25,500,14.76,POUNDS,10-to-50-lb,11.25,8.75,11,25,catalog approved,active,in stock,100
11812,"11.25x8.75x12 ECT-32 Kraft Corrugated Boxes - Protect Documents & Printed Materials, 25-Box Bundle",https://packrift.github.io/sku-evidence-cards/sku/11812-11-25x8-75x12-ect-32-kraft-corrugated-boxes-protect-documents-printed-materials-25-box-bundle/,https://packrift.com/products/11-25x8-75x12-ect-32-kraft-corrugated-boxes-protect-documents-printed-materials-25-box-bundle,boxes,Boxes - Corrugated,22.63,under-25,500,15.86,POUNDS,10-to-50-lb,11.25,8.75,12,0,catalog approved,active,in stock,100
11812W,11.25x8.75x12 White Corrugated Boxes ECT-32 Single Wall - 25 Pack,https://packrift.github.io/sku-evidence-cards/sku/11812w-11-25x8-75x12-white-corrugated-boxes-ect-32-single-wall-25-pack/,https://packrift.com/products/11-25x8-75x12-white-corrugated-boxes-ect-32-single-wall-25-pack,boxes,Boxes - Corrugated,39.88,25-to-75,300,16.46,POUNDS,10-to-50-lb,11.25,8.75,12,25,catalog approved,active,in stock,100
1182,"11.25x8.75x2.75 ECT-32 Kraft Corrugated Shipping Boxes - Shallow Depth, Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/1182-11-25x8-75x2-75-ect-32-kraft-corrugated-shipping-boxes-shallow-depth-bundle-of-25/,https://packrift.com/products/11-25x8-75x2-75-ect-32-kraft-corrugated-shipping-boxes-shallow-depth-bundle-of-25,boxes,Boxes - Corrugated,18.01,under-25,500,8.44,POUNDS,1-to-10-lb,11.25,8.75,2.75,25,catalog approved,active,in stock,100
1183,11x8x3 ECT-32 Kraft Corrugated Boxes - 25 Pack,https://packrift.github.io/sku-evidence-cards/sku/1183-11x8x3-ect-32-kraft-corrugated-boxes-25-pack/,https://packrift.com/products/11x8x3-ect-32-kraft-corrugated-boxes-25-pack,boxes,Boxes - Corrugated,20.81,under-25,300,8.32,POUNDS,1-to-10-lb,11,8,3,25,catalog approved,active,in stock,100
1184,"11.25x8.75x4 ECT-32 Kraft Corrugated Boxes - Shallow Depth Design, Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/1184-11-25x8-75x4-ect-32-kraft-corrugated-boxes-shallow-depth-design-bundle-of-25/,https://packrift.com/products/11-25x8-75x4-ect-32-kraft-corrugated-boxes-shallow-depth-design-bundle-of-25,boxes,Boxes - Corrugated,18.16,under-25,500,9.54,POUNDS,1-to-10-lb,11.25,8.75,4,25,catalog approved,active,in stock,100
1184R,"11x8x4"" ECT-32 Kraft Corrugated Boxes - 25-Bundle Flat Ship",https://packrift.github.io/sku-evidence-cards/sku/1184r-11x8x4-ect-32-kraft-corrugated-boxes-25-bundle-flat-ship/,https://packrift.com/products/11x8x4-ect-32-kraft-corrugated-boxes-25-bundle-flat-ship,boxes,Boxes - Corrugated,21.31,under-25,400,8.8,POUNDS,1-to-10-lb,11,8,4,0,catalog approved,active,in stock,100
1184SC,"11.75x8.75x4.75"" ECT-32 Kraft Corrugated Boxes - Printed Materials Protection, 25/Bundle",https://packrift.github.io/sku-evidence-cards/sku/1184sc-11-75x8-75x4-75-ect-32-kraft-corrugated-boxes-printed-materials-protection-25-bundle/,https://packrift.com/products/11-75x8-75x4-75-ect-32-kraft-corrugated-boxes-printed-materials-protection-25-bundle,boxes,Boxes - Corrugated,18.27,under-25,500,10.86,POUNDS,10-to-50-lb,11.75,8.75,4.75,0,catalog approved,active,in stock,100
1184SCW,"11.75 x 8.75 x 4.75"" White Corrugated Boxes ECT-32 - Bundle of 25",https://packrift.github.io/sku-evidence-cards/sku/1184scw-11-75-x-8-75-x-4-75-white-corrugated-boxes-ect-32-bundle-of-25/,https://packrift.com/products/11-75-x-8-75-x-4-75-white-corrugated-boxes-ect-32-bundle-of-25,boxes,Boxes - Corrugated,20.72,under-25,200,10.54,POUNDS,10-to-50-lb,11.75,8.75,4.75,25,catalog approved,active,in stock,100
1184W,11.25x8.75x4 ECT-32 White Corrugated Boxes - 25 Pack Bundle,https://packrift.github.io/sku-evidence-cards/sku/1184w-11-25x8-75x4-ect-32-white-corrugated-boxes-25-pack-bundle/,https://packrift.com/products/11-25x8-75x4-ect-32-white-corrugated-boxes-25-pack-bundle,boxes,Boxes - Corrugated,22.64,under-25,400,9.12,POUNDS,1-to-10-lb,11.25,8.75,4,25,catalog approved,active,in stock,100
1185,"11x8x5 ECT-32 Kraft Corrugated Boxes - Reliable Strength, 25-Pack",https://packrift.github.io/sku-evidence-cards/sku/1185-11x8x5-ect-32-kraft-corrugated-boxes-reliable-strength-25-pack/,https://packrift.com/products/11x8x5-ect-32-kraft-corrugated-boxes-reliable-strength-25-pack,boxes,Boxes - Corrugated,22.5,under-25,500,9.5,POUNDS,1-to-10-lb,11,8,5,0,catalog approved,active,in stock,100
1185R,"11.25x8.75x5 ECT-32 Kraft Corrugated Boxes - Printer Perfect, 25-Pack",https://packrift.github.io/sku-evidence-cards/sku/1185r-11-25x8-75x5-ect-32-kraft-corrugated-boxes-printer-perfect-25-pack/,https://packrift.com/products/11-25x8-75x5-ect-32-kraft-corrugated-boxes-printer-perfect-25-pack,boxes,Boxes - Corrugated,24.91,under-25,200,10.2,POUNDS,10-to-50-lb,11.25,8.75,5,0,catalog approved,active,in stock,100
1186,"11x8x6 ECT-32 Kraft Corrugated Boxes - Standard Strength Shipping, 25-Pack",https://packrift.github.io/sku-evidence-cards/sku/1186-11x8x6-ect-32-kraft-corrugated-boxes-standard-strength-shipping-25-pack/,https://packrift.com/products/11x8x6-ect-32-kraft-corrugated-boxes-standard-strength-shipping-25-pack,boxes,Boxes - Corrugated,15.77,under-25,500,9.82,POUNDS,1-to-10-lb,11,8,6,0,catalog approved,active,in stock,100
1186R,"11.25x8.75x6 ECT-32 Kraft Corrugated Boxes - Document Protection, 25-Pack",https://packrift.github.io/sku-evidence-cards/sku/1186r-11-25x8-75x6-ect-32-kraft-corrugated-boxes-document-protection-25-pack/,https://packrift.com/products/11-25x8-75x6-ect-32-kraft-corrugated-boxes-document-protection-25-pack,boxes,Boxes - Corrugated,17.73,under-25,500,11.58,POUNDS,10-to-50-lb,11.25,8.75,6,0,catalog approved,active,in stock,100
1186RW,11.25x8.75x6 ECT-32 White Corrugated Shipping Boxes - 25 Pack,https://packrift.github.io/sku-evidence-cards/sku/1186rw-11-25x8-75x6-ect-32-white-corrugated-shipping-boxes-25-pack/,https://packrift.com/products/11-25x8-75x6-ect-32-white-corrugated-shipping-boxes-25-pack,boxes,Boxes - Corrugated,22.16,under-25,500,12.72,POUNDS,10-to-50-lb,11.25,8.75,6,25,catalog approved,active,in stock,100
1188,11.75x8.75x8.75 ECT-32 Kraft Corrugated Boxes - 25 Bundle,https://packrift.github.io/sku-evidence-cards/sku/1188-11-75x8-75x8-75-ect-32-kraft-corrugated-boxes-25-bundle/,https://packrift.com/products/11-75x8-75x8-75-ect-32-kraft-corrugated-boxes-25-bundle,boxes,Boxes - Corrugated,20.82,under-25,500,13.2,POUNDS,10-to-50-lb,11.75,8.75,8.75,25,catalog approved,active,in stock,100
1188R,11x8x8 ECT-32 Kraft Corrugated Boxes - 25-Pack Bundle,https://packrift.github.io/sku-evidence-cards/sku/1188r-11x8x8-ect-32-kraft-corrugated-boxes-25-pack-bundle/,https://packrift.com/products/11x8x8-ect-32-kraft-corrugated-boxes-25-pack-bundle,boxes,Boxes - Corrugated,20,under-25,500,10.54,POUNDS,10-to-50-lb,11,8,8,0,catalog approved,active,in stock,100
1188SC,11.25x8.75x8 Kraft Corrugated Boxes ECT-32 - Bundle of 25,https://packrift.github.io/sku-evidence-cards/sku/1188sc-11-25x8-75x8-kraft-corrugated-boxes-ect-32-bundle-of-25/,https://packrift.com/products/11-25x8-75x8-kraft-corrugated-boxes-ect-32-bundle-of-25,boxes,Boxes - Corrugated,21.34,under-25,500,12.18,POUNDS,10-to-50-lb,11.25,8.75,8,25,catalog approved,active,in stock,100
1188SCW,"11.25 x 8.75 x 8"" ECT-32 White Corrugated Boxes - 25 Bundle",https://packrift.github.io/sku-evidence-cards/sku/1188scw-11-25-x-8-75-x-8-ect-32-white-corrugated-boxes-25-bundle/,https://packrift.com/products/11-25-x-8-75-x-8-ect-32-white-corrugated-boxes-25-bundle,boxes,Boxes - Corrugated,37.48,25-to-75,200,12.02,POUNDS,10-to-50-lb,11.25,8.75,8,25,catalog approved,active,in stock,100
1188W,11.75x8.75x8.75 ECT-32 White Corrugated Boxes - 25 Pack,https://packrift.github.io/sku-evidence-cards/sku/1188w-11-75x8-75x8-75-ect-32-white-corrugated-boxes-25-pack/,https://packrift.com/products/11-75x8-75x8-75-ect-32-white-corrugated-boxes-25-pack,boxes,Boxes - Corrugated,22.86,under-25,500,13.44,POUNDS,10-to-50-lb,11.75,8.75,8.75,25,catalog approved,active,in stock,100
1189,"11.25x8.75x9.5"" ECT-32 Kraft Corrugated Boxes - Printer Perfect, 25-Pack",https://packrift.github.io/sku-evidence-cards/sku/1189-11-25x8-75x9-5-ect-32-kraft-corrugated-boxes-printer-perfect-25-pack/,https://packrift.com/products/11-25x8-75x9-5-ect-32-kraft-corrugated-boxes-printer-perfect-25-pack,boxes,Boxes - Corrugated,21.29,under-25,500,14.48,POUNDS,10-to-50-lb,11.25,8.75,9.5,0,catalog approved,active,in stock,100
1196,11x9x6 ECT-32 Kraft Corrugated Boxes - Bundle of 25,https://packrift.github.io/sku-evidence-cards/sku/1196-11x9x6-ect-32-kraft-corrugated-boxes-bundle-of-25/,https://packrift.com/products/11x9x6-ect-32-kraft-corrugated-boxes-bundle-of-25,boxes,Boxes - Corrugated,18.58,under-25,500,11.84,POUNDS,10-to-50-lb,11,9,6,25,catalog approved,active,in stock,100
