sku,title,family,product_type,product_url,page_url,price,inventory,material_signals,color_signals,closure_signals,printer_signals,strength_signals,pack_count_signals,source_fingerprint
BINBIN49,"9x4x4.5"" White Corrugated Bin Boxes - Easy Assembly, Bundle of 50",boxes,"Bins, Shelving & Storage",https://packrift.com/products/9x4x4-5-white-corrugated-bin-boxes-easy-assembly-bundle-of-50,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binbin49-9x4x4-5-white-corrugated-bin-boxes-easy-assembly-bundle-of-50/,30.48,500,cardboard|corrugated|white,white,,,,bundle of 50,81778e8b6b5f9224
BINBIN69,"6x9x4.5"" ECT-32-B White Corrugated Bin Boxes - 25 Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/6x9x4-5-ect-32-b-white-corrugated-bin-boxes-25-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binbin69-6x9x4-5-ect-32-b-white-corrugated-bin-boxes-25-pack/,15.54,500,cardboard|corrugated|white,white,,,ect-32,25 pack,3d5cf0111acc0d2e
BINBIN69K,"6x9x4.5"" Kraft Corrugated Bin Boxes ECT-32 - 25 Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/6x9x4-5-kraft-corrugated-bin-boxes-ect-32-25-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binbin69k-6x9x4-5-kraft-corrugated-bin-boxes-ect-32-25-pack/,25.6,400,cardboard|corrugated|kraft,kraft,,,ect-32,25 pack,1b58d8e8a3307188
BINBIN89,"9x8x4.5"" White Corrugated Bin Boxes - ECT-32-B, 50-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/9x8x4-5-white-corrugated-bin-boxes-ect-32-b-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binbin89-9x8x4-5-white-corrugated-bin-boxes-ect-32-b-50-pack/,46.93,200,cardboard|corrugated|white,white,,,ect-32,50-pack,a3f8afa00ddf48f8
BINBWZ218,"18x2x4.5"" White Corrugated Bin Boxes - ECT-32-B, Bundle of 50",boxes,"Bins, Shelving & Storage",https://packrift.com/products/18x2x4-5-white-corrugated-bin-boxes-ect-32-b-bundle-of-50,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binbwz218-18x2x4-5-white-corrugated-bin-boxes-ect-32-b-bundle-of-50/,32.3,500,cardboard|corrugated|white,white,,,ect-32,bundle of 50,3d44abb0d73ec271
BINBWZ218K,"18"" x 2"" x 4.5"" Kraft Corrugated Bin Boxes - Fast Assembly, 50-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/18-x-2-x-4-5-kraft-corrugated-bin-boxes-fast-assembly-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binbwz218k-18-x-2-x-4-5-kraft-corrugated-bin-boxes-fast-assembly-50-pack/,57.29,100,cardboard|corrugated|kraft,kraft,,,,50-pack,32318ff272af9dd9
BINBWZ318,"18"" x 3"" x 4.5"" White Corrugated Bin Boxes - Parts Organization, 25-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/18-x-3-x-4-5-white-corrugated-bin-boxes-parts-organization-25-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binbwz318-18-x-3-x-4-5-white-corrugated-bin-boxes-parts-organization-25-pack/,17.98,400,cardboard|corrugated|white,white,,,,25-pack,b74319c004eaa4b7
BINBWZ418,"4x18x4.5"" White Corrugated Bin Boxes - ECT-32-B, Bundle of 50",boxes,"Bins, Shelving & Storage",https://packrift.com/products/4x18x4-5-white-corrugated-bin-boxes-ect-32-b-bundle-of-50,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binbwz418-4x18x4-5-white-corrugated-bin-boxes-ect-32-b-bundle-of-50/,36.23,500,cardboard|corrugated|white,white,,,ect-32,bundle of 50,16971f6b65adc510
BINBWZ418K,"4x18x4.5"" Kraft Corrugated Bin Boxes - Easy Assembly, 50-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/4x18x4-5-kraft-corrugated-bin-boxes-easy-assembly-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binbwz418k-4x18x4-5-kraft-corrugated-bin-boxes-easy-assembly-50-pack/,67.65,400,cardboard|corrugated|kraft,kraft,,,,50-pack,10f0d8021f081f65
BINBWZ518,"5x18x4.5"" White Corrugated Bin Boxes - ECT-32-B, Bundle of 50",boxes,"Bins, Shelving & Storage",https://packrift.com/products/5x18x4-5-white-corrugated-bin-boxes-ect-32-b-bundle-of-50,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binbwz518-5x18x4-5-white-corrugated-bin-boxes-ect-32-b-bundle-of-50/,79.24,400,cardboard|corrugated|white,white,,,ect-32,bundle of 50,cb884e9580d499bf
BINBWZ818K,"8x18x4.5"" ECT-32 Kraft Bin Boxes - Open Top Parts Storage, 50-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/8x18x4-5-ect-32-kraft-bin-boxes-open-top-parts-storage-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binbwz818k-8x18x4-5-ect-32-kraft-bin-boxes-open-top-parts-storage-50-pack/,88.38,400,cardboard|corrugated|kraft,kraft,,,ect-32,50-pack,0a7ce330006f0970
BINC110,"7 3/8x4 1/8x3"" Black Conductive Plastic Bins - ESD Protection, Case of 24",boxes,"Bins, Shelving & Storage",https://packrift.com/products/7-3-8x4-1-8x3-black-conductive-plastic-bins-esd-protection-case-of-24,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binc110-7-3-8x4-1-8x3-black-conductive-plastic-bins-esd-protection-case-of-24/,201.94,100,conductive|plastic,black,,,,case of 24,7e9d864ef3e2fa2c
BINC111,"10 7/8x5 1/2x5"" Black Conductive Plastic Bins - ESD Protection, Case of 12",boxes,"Bins, Shelving & Storage",https://packrift.com/products/10-7-8x5-1-2x5-black-conductive-plastic-bins-esd-protection-case-of-12,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binc111-10-7-8x5-1-2x5-black-conductive-plastic-bins-esd-protection-case-of-12/,233.91,100,conductive|plastic,black,,,,case of 12,163b49887e42e3dd
BINC113,"18x16.5x11 Black Conductive Plastic Bin Boxes - ESD Protection, Case of 3",boxes,"Bins, Shelving & Storage",https://packrift.com/products/18x16-5x11-black-conductive-plastic-bin-boxes-esd-protection-case-of-3,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binc113-18x16-5x11-black-conductive-plastic-bin-boxes-esd-protection-case-of-3/,486.91,100,conductive|plastic,black,,,,case of 3,422e02dffbcfa952
BINC313B,"3.25"" x 1.75"" x 3"" Blue Plastic Bin Cups - Case of 48",boxes,"Bins, Shelving & Storage",https://packrift.com/products/3-25-x-1-75-x-3-blue-plastic-bin-cups-case-of-48,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binc313b-3-25-x-1-75-x-3-blue-plastic-bin-cups-case-of-48/,31.68,100,plastic,blue,,,,case of 48,fab604c0169e294e
BINC313Y,"3.25x1.75x3"" Yellow Plastic Bin Cups - 48/Case Organizer",boxes,"Bins, Shelving & Storage",https://packrift.com/products/3-25x1-75x3-yellow-plastic-bin-cups-48-case-organizer,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binc313y-3-25x1-75x3-yellow-plastic-bin-cups-48-case-organizer/,31.68,100,plastic,yellow,,,,48/case,a6126eb4d8070fef
BINC523Y,"5 1/8"" x 2 3/4"" x 3"" Yellow Plastic Bin Cups - 48 Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/5-1-8-x-2-3-4-x-3-yellow-plastic-bin-cups-48-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binc523y-5-1-8-x-2-3-4-x-3-yellow-plastic-bin-cups-48-pack/,55.67,100,plastic,yellow,,,,48 pack,1178f64cbfa7a975
BINEB123,"12x3x4.5"" White Corrugated Bin Boxes - Easy Assembly, Bundle of 50",boxes,"Bins, Shelving & Storage",https://packrift.com/products/12x3x4-5-white-corrugated-bin-boxes-easy-assembly-bundle-of-50,https://packrift.github.io/exact-attribute-constraint-atlas/skus/bineb123-12x3x4-5-white-corrugated-bin-boxes-easy-assembly-bundle-of-50/,46.71,500,cardboard|corrugated|white,white,,,,bundle of 50,cb6578a04ce268a5
BINEB123K,"12x3x4.5"" Kraft Corrugated Bin Boxes - ECT-32 Parts Storage, 50-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/12x3x4-5-kraft-corrugated-bin-boxes-ect-32-parts-storage-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/bineb123k-12x3x4-5-kraft-corrugated-bin-boxes-ect-32-parts-storage-50-pack/,48.76,400,cardboard|corrugated|kraft,kraft,,,ect-32,50-pack,3e61695e1b92ece1
BINEB1810,"18x10x4.5"" White Corrugated Bin Boxes - ECT-32-B, 25 Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/18x10x4-5-white-corrugated-bin-boxes-ect-32-b-25-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/bineb1810-18x10x4-5-white-corrugated-bin-boxes-ect-32-b-25-pack/,27.12,500,cardboard|corrugated|white,white,,,ect-32,25 pack,7ec3fd22ab7b2948
BINEB1812,"18x12x4.5"" White Corrugated Bin Boxes - ECT-32-B, 50-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/18x12x4-5-white-corrugated-bin-boxes-ect-32-b-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/bineb1812-18x12x4-5-white-corrugated-bin-boxes-ect-32-b-50-pack/,58.51,500,cardboard|corrugated|white,white,,,ect-32,50-pack,928cc397de8972d7
BINEB1812K,"12x18x4.5"" Kraft Corrugated Bin Boxes - ECT-32 Storage, Bundle of 50",boxes,"Bins, Shelving & Storage",https://packrift.com/products/12x18x4-5-kraft-corrugated-bin-boxes-ect-32-storage-bundle-of-50,https://packrift.github.io/exact-attribute-constraint-atlas/skus/bineb1812k-12x18x4-5-kraft-corrugated-bin-boxes-ect-32-storage-bundle-of-50/,103.62,100,cardboard|corrugated|kraft,kraft,,,ect-32,bundle of 50,7141c6df2c0282ce
BINJ10128,"12x10x8"" ECT-32-B Corrugated Bin Boxes - Industrial Storage, 25-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/12x10x8-ect-32-b-corrugated-bin-boxes-industrial-storage-25-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binj10128-12x10x8-ect-32-b-corrugated-bin-boxes-industrial-storage-25-pack/,37.79,500,cardboard|corrugated|white,white,,,ect-32,25-pack,be0b6a46a54225e6
BINJ101810,"18x10x10 ECT-32-B Corrugated Bin Box - Heavy-Duty Parts Storage, 25-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/18x10x10-ect-32-b-corrugated-bin-box-heavy-duty-parts-storage-25-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binj101810-18x10x10-ect-32-b-corrugated-bin-box-heavy-duty-parts-storage-25-pack/,64.37,500,cardboard|corrugated|white,white,,,ect-32|heavy-duty,25-pack,3ea312f2e68d3de3
BINJ121810,12x18x10 ECT-32-B Corrugated Bin Boxes - 25 Pack,boxes,"Bins, Shelving & Storage",https://packrift.com/products/12x18x10-ect-32-b-corrugated-bin-boxes-25-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binj121810-12x18x10-ect-32-b-corrugated-bin-boxes-25-pack/,68.84,500,cardboard|corrugated|white,white,,,ect-32,25 pack,f2560b641dc9ca07
BINJ122412,"24x12x12 ECT-32-B Corrugated Bin Boxes White - Bulk Parts Storage, 25-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/24x12x12-ect-32-b-corrugated-bin-boxes-white-bulk-parts-storage-25-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binj122412-24x12x12-ect-32-b-corrugated-bin-boxes-white-bulk-parts-storage-25-pack/,82.2,500,cardboard|corrugated|white,white,,,ect-32,25-pack,c38d2623e55e2e83
BINJ162412,"24x16x12 ECT-32 White Corrugated Bin Boxes - Bulk Parts Storage, 25-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/24x16x12-ect-32-white-corrugated-bin-boxes-bulk-parts-storage-25-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binj162412-24x16x12-ect-32-white-corrugated-bin-boxes-bulk-parts-storage-25-pack/,106.49,500,cardboard|corrugated|white,white,,,ect-32,25-pack,00a79ac31353343a
BINJ182412,"18x24x12 ECT-32-B Corrugated Bin Boxes - Heavy-Duty Storage, Bundle of 20",boxes,"Bins, Shelving & Storage",https://packrift.com/products/18x24x12-ect-32-b-corrugated-bin-boxes-heavy-duty-storage-bundle-of-20,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binj182412-18x24x12-ect-32-b-corrugated-bin-boxes-heavy-duty-storage-bundle-of-20/,128.97,400,cardboard|corrugated|white,white,,,ect-32|heavy-duty,bundle of 20,e0a95e19bbd05512
BINJ201810,"20x18x10"" ECT-32-B Corrugated Bin Boxes - Heavy-Duty Parts Storage, Bundle of 25",boxes,"Bins, Shelving & Storage",https://packrift.com/products/20x18x10-ect-32-b-corrugated-bin-boxes-heavy-duty-parts-storage-bundle-of-25,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binj201810-20x18x10-ect-32-b-corrugated-bin-boxes-heavy-duty-parts-storage-bundle-of-25/,126.47,100,cardboard|corrugated|white,white,,,ect-32|heavy-duty,bundle of 25,20dabbb74ebd794f
BINJ202412,"24x20x12 ECT-32-B Corrugated Bin Boxes - Bulk Storage, 25-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/24x20x12-ect-32-b-corrugated-bin-boxes-bulk-storage-25-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binj202412-24x20x12-ect-32-b-corrugated-bin-boxes-bulk-storage-25-pack/,117.94,500,cardboard|corrugated|white,white,,,ect-32,25-pack,2a0423c4ead75b98
BINJ61810,"18x10x6"" ECT-32 White Corrugated Bin Boxes - 25 Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/18x10x6-ect-32-white-corrugated-bin-boxes-25-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binj61810-18x10x6-ect-32-white-corrugated-bin-boxes-25-pack/,61.56,400,cardboard|corrugated|white,white,,,ect-32,25 pack,83574cb514e01ae1
BINJ8128,"12x8x8"" ECT-32-B Corrugated Bin Boxes - 25/Bundle",boxes,"Bins, Shelving & Storage",https://packrift.com/products/12x8x8-ect-32-b-corrugated-bin-boxes-25-bundle,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binj8128-12x8x8-ect-32-b-corrugated-bin-boxes-25-bundle/,40.23,500,cardboard|corrugated|white,white,,,ect-32,,2acbfe59a4a1469a
BINJ81810,"8x18x10"" White Corrugated Jumbo Bin Boxes ECT-32-B - 25 Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/8x18x10-white-corrugated-jumbo-bin-boxes-ect-32-b-25-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binj81810-8x18x10-white-corrugated-jumbo-bin-boxes-ect-32-b-25-pack/,62.39,500,cardboard|corrugated|white,white,,,ect-32,25 pack,0cc154be9b21a2ad
BINJ82412,"24x8x12 ECT-32 Corrugated Bin Boxes - Jumbo Parts Storage, Bundle of 25",boxes,"Bins, Shelving & Storage",https://packrift.com/products/24x8x12-ect-32-corrugated-bin-boxes-jumbo-parts-storage-bundle-of-25,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binj82412-24x8x12-ect-32-corrugated-bin-boxes-jumbo-parts-storage-bundle-of-25/,115.72,400,cardboard|corrugated|white,white,,,ect-32,bundle of 25,a3f4364573de1a88
BINMT1012,"10x12x4.5"" White Corrugated Bin Boxes - ECT-32-B Parts Storage, Bundle of 25",boxes,"Bins, Shelving & Storage",https://packrift.com/products/10x12x4-5-white-corrugated-bin-boxes-ect-32-b-parts-storage-bundle-of-25,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt1012-10x12x4-5-white-corrugated-bin-boxes-ect-32-b-parts-storage-bundle-of-25/,22.3,300,cardboard|corrugated|white,white,,,ect-32,bundle of 25,20084533ed14bf63
BINMT1012K,"10x12x4.5"" Kraft Corrugated Bin Boxes - ECT-32 Parts Storage, 25-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/10x12x4-5-kraft-corrugated-bin-boxes-ect-32-parts-storage-25-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt1012k-10x12x4-5-kraft-corrugated-bin-boxes-ect-32-parts-storage-25-pack/,36.57,400,cardboard|corrugated|kraft,kraft,,,ect-32,25-pack,e3681cd71f84f248
BINMT1224,"12x24x4.5"" White Corrugated Bin Boxes - Durable Storage, 50/Bundle",boxes,"Bins, Shelving & Storage",https://packrift.com/products/12x24x4-5-white-corrugated-bin-boxes-durable-storage-50-bundle,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt1224-12x24x4-5-white-corrugated-bin-boxes-durable-storage-50-bundle/,175.54,400,cardboard|corrugated|white,white,,,,,7d9dc336adc1f1ff
BINMT16124,"16x12x4.5"" White Corrugated Bin Boxes - ECT-32-B, Bundle of 50",boxes,"Bins, Shelving & Storage",https://packrift.com/products/16x12x4-5-white-corrugated-bin-boxes-ect-32-b-bundle-of-50,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt16124-16x12x4-5-white-corrugated-bin-boxes-ect-32-b-bundle-of-50/,93.86,400,cardboard|corrugated|white,white,,,ect-32,bundle of 50,5735dc5bf090a738
BINMT212,"12x2x4.5"" White Corrugated Bin Boxes - ECT-32-B, Bundle of 50",boxes,"Bins, Shelving & Storage",https://packrift.com/products/12x2x4-5-white-corrugated-bin-boxes-ect-32-b-bundle-of-50,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt212-12x2x4-5-white-corrugated-bin-boxes-ect-32-b-bundle-of-50/,28.56,500,cardboard|corrugated|white,white,,,ect-32,bundle of 50,d2969c78b37a28a3
BINMT212K,"12x2x4.5"" ECT-32 Kraft Bin Boxes - One-Piece Assembly, 50-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/12x2x4-5-ect-32-kraft-bin-boxes-one-piece-assembly-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt212k-12x2x4-5-ect-32-kraft-bin-boxes-one-piece-assembly-50-pack/,45.71,200,cardboard|corrugated|kraft,kraft,,,ect-32,50-pack,0247fb52c2311177
BINMT224,"24x2x4.5"" White Corrugated Bin Boxes - Easy Assembly, Bundle of 50",boxes,"Bins, Shelving & Storage",https://packrift.com/products/24x2x4-5-white-corrugated-bin-boxes-easy-assembly-bundle-of-50,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt224-24x2x4-5-white-corrugated-bin-boxes-easy-assembly-bundle-of-50/,96.91,100,cardboard|corrugated|white,white,,,,bundle of 50,2a720a829d6b1627
BINMT412,"4x12x4.5"" White Corrugated Bin Boxes - ECT-32-B, Bundle of 50",boxes,"Bins, Shelving & Storage",https://packrift.com/products/4x12x4-5-white-corrugated-bin-boxes-ect-32-b-bundle-of-50,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt412-4x12x4-5-white-corrugated-bin-boxes-ect-32-b-bundle-of-50/,31.51,500,cardboard|corrugated|white,white,,,ect-32,bundle of 50,358f9a4b51fc34ca
BINMT412K,"12x4x4.5"" Kraft Corrugated Bin Boxes - Fast Assembly, 50-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/12x4x4-5-kraft-corrugated-bin-boxes-fast-assembly-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt412k-12x4x4-5-kraft-corrugated-bin-boxes-fast-assembly-50-pack/,46.29,500,cardboard|corrugated|kraft,kraft,,,,50-pack,4bb0256454b86191
BINMT415,"4x15x4.5"" White Corrugated Bin Box - ECT-32-B Parts Storage, 50-Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/4x15x4-5-white-corrugated-bin-box-ect-32-b-parts-storage-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt415-4x15x4-5-white-corrugated-bin-box-ect-32-b-parts-storage-50-pack/,41.45,400,cardboard|corrugated|white,white,,,ect-32,50-pack,e25f03ee7198e9ff
BINMT424K,"4x24x4.5"" ECT-32 Kraft Bin Boxes - One-Piece Assembly, Bundle of 50",boxes,"Bins, Shelving & Storage",https://packrift.com/products/4x24x4-5-ect-32-kraft-bin-boxes-one-piece-assembly-bundle-of-50,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt424k-4x24x4-5-ect-32-kraft-bin-boxes-one-piece-assembly-bundle-of-50/,112.76,100,cardboard|corrugated|kraft,kraft,,,ect-32,bundle of 50,1caa0bccd7498b3d
BINMT512,"5x12x4.5"" White Corrugated Bin Boxes - ECT-32-B, Bundle of 50",boxes,"Bins, Shelving & Storage",https://packrift.com/products/5x12x4-5-white-corrugated-bin-boxes-ect-32-b-bundle-of-50,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt512-5x12x4-5-white-corrugated-bin-boxes-ect-32-b-bundle-of-50/,57.29,400,cardboard|corrugated|white,white,,,ect-32,bundle of 50,8ea85941fc130e18
BINMT615,"6x15x4.5"" White Corrugated Bin Boxes ECT-32-B - 50 Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/6x15x4-5-white-corrugated-bin-boxes-ect-32-b-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt615-6x15x4-5-white-corrugated-bin-boxes-ect-32-b-50-pack/,45.71,400,cardboard|corrugated|white,white,,,ect-32,50 pack,4d2b392f9f79874d
BINMT624,"6x24x4.5"" White Corrugated Bin Boxes ECT-32-B - 50 Pack",boxes,"Bins, Shelving & Storage",https://packrift.com/products/6x24x4-5-white-corrugated-bin-boxes-ect-32-b-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt624-6x24x4-5-white-corrugated-bin-boxes-ect-32-b-50-pack/,51.44,500,cardboard|corrugated|white,white,,,ect-32,50 pack,7e0f62999a826928
BINMT624K,"6x24x4.5"" Kraft Corrugated Bin Boxes ECT-32 - Bundle of 50",boxes,"Bins, Shelving & Storage",https://packrift.com/products/6x24x4-5-kraft-corrugated-bin-boxes-ect-32-bundle-of-50,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt624k-6x24x4-5-kraft-corrugated-bin-boxes-ect-32-bundle-of-50/,119.46,400,cardboard|corrugated|kraft,kraft,,,ect-32,bundle of 50,cfbf0e3328e8aeb6
BINMT812,8x12x4.5 ECT-32-B White Corrugated Bin Boxes - 50 Pack,boxes,"Bins, Shelving & Storage",https://packrift.com/products/8x12x4-5-ect-32-b-white-corrugated-bin-boxes-50-pack,https://packrift.github.io/exact-attribute-constraint-atlas/skus/binmt812-8x12x4-5-ect-32-b-white-corrugated-bin-boxes-50-pack/,40.15,400,cardboard|corrugated|white,white,,,ect-32,50 pack,19d4113cd4dd6361
